Video name,Codec,Timestamp,CPU_Usage(%),Memory_Usage(MB)
pexels-kindel-media-8823454 (2160p),libx264,1699015496.23245,1498.0,3177.71484375
pexels-kindel-media-8823454 (2160p),libx264,1699015496.4402812,1585.5,3167.03125
pexels-kindel-media-8823454 (2160p),libx264,1699015496.646883,1562.5,3168.4609375
pexels-kindel-media-8823454 (2160p),libx264,1699015496.8650408,1483.7,3181.16796875
pexels-kindel-media-8823454 (2160p),libx264,1699015497.0664256,1363.4,3170.49609375
pexels-kindel-media-8823454 (2160p),libx264,1699015497.2669437,1185.3,3183.30859375
pexels-kindel-media-8823454 (2160p),libx264,1699015497.4803956,1347.5,3184.5078125
pexels-kindel-media-8823454 (2160p),libx264,1699015497.6817431,1304.9,3185.8359375
pexels-kindel-media-8823454 (2160p),libx264,1699015497.903382,1335.5,3174.03125
pexels-kindel-media-8823454 (2160p),libx264,1699015498.1086848,1493.2,3150.55078125
pexels-kindel-media-8823454 (2160p),libx264,1699015498.3172631,1478.2,3150.55078125
pexels-kindel-media-8823454 (2160p),libx264,1699015498.528799,1555.3,3150.66796875
pexels-kindel-media-8823454 (2160p),libx264,1699015498.7400844,1624.1,3150.5859375
pexels-kindel-media-8823454 (2160p),libx264,1699015498.945539,1516.5,3150.5859375
pexels-kindel-media-8823454 (2160p),libx264,1699015499.1481776,1531.7,3150.6796875
pexels-kindel-media-8823454 (2160p),libx264,1699015499.3494892,1362.4,3150.68359375
pexels-kindel-media-8823454 (2160p),libx264,1699015499.5500739,923.6,3150.6875
pexels-kindel-media-8823454 (2160p),libx264,1699015499.7508695,738.9,3150.7109375
pexels-kindel-media-8823454 (2160p),libx264,1699015499.9519322,1477.8,3150.7265625
pexels-kindel-media-8823454 (2160p),libx264,1699015500.1541555,1239.2,3150.8046875
pexels-kindel-media-8823454 (2160p),libx264,1699015500.3548121,889.3,3150.8046875
pexels-kindel-media-8823454 (2160p),libx264,1699015500.5556796,246.3,3150.8046875
pexels-kindel-media-8823454 (2160p),libx264,1699015500.7559812,184.7,2712.4765625
pexels-taryn-elliott-5548361 (2160p),mjpeg,1699015501.440188,0.0,120.38671875
